course_id,published_timestamp
811534,2016-05-03T21:14:25Z
95176,2014-01-23T22:33:18Z
880564,2016-07-11T17:22:40Z
613944,2015-09-20T21:45:48Z
1208148,2017-06-23T16:35:04Z
24815,2012-10-31T01:05:18Z
736836,2016-02-06T01:21:33Z
462474,2015-04-06T18:05:26Z
73938,2013-08-12T13:26:27Z
158444,2016-09-09T04:22:05Z
577198,2015-08-12T17:28:53Z
993160,2016-12-14T17:29:34Z
233294,2014-06-11T17:50:13Z
281844,2014-09-15T19:45:17Z
1072156,2017-05-02T18:58:47Z
607362,2015-10-10T04:45:42Z
1069866,2017-04-18T21:43:21Z
25794,2012-10-02T22:00:03Z
387348,2015-05-14T21:17:53Z
475912,2015-05-15T18:04:34Z
332690,2014-11-24T04:14:02Z
830870,2016-04-28T22:42:54Z
199822,2014-05-17T13:19:55Z
56058,2013-05-24T17:42:25Z
587232,2015-08-27T19:42:37Z
398798,2015-01-20T04:28:14Z
130366,2014-02-05T19:02:33Z
530430,2015-06-17T23:50:28Z
615204,2015-11-01T18:29:15Z
441016,2015-03-08T19:26:34Z
598722,2015-09-23T03:00:27Z
1225674,2017-05-23T21:04:42Z
1167536,2017-04-06T16:59:36Z
979616,2016-10-22T14:28:36Z
528488,2015-07-30T19:00:30Z
832832,2016-04-27T20:06:23Z
256094,2014-07-05T15:25:07Z
975074,2016-10-10T21:05:19Z
436488,2015-03-05T22:58:02Z
72644,2013-08-05T16:01:50Z
980408,2017-01-03T17:57:55Z
343886,2014-11-14T07:42:47Z
837322,2016-05-16T18:28:30Z
1157298,2017-04-23T16:19:01Z
1282064,2017-07-06T21:46:30Z
1247992,2017-07-03T21:40:32Z
1251582,2017-06-29T22:01:56Z
1258666,2017-06-29T23:20:10Z
1168172,2017-05-01T20:16:26Z
1233314,2017-07-03T21:38:22Z
1276182,2017-07-05T04:41:54Z
1187084,2017-07-06T21:16:13Z
1084454,2017-07-02T14:29:35Z
885413,2016-07-27T21:07:46Z
178602,2014-03-11T16:15:21Z
601912,2015-09-12T00:13:34Z
831170,2016-05-05T14:38:15Z
327788,2015-01-27T04:10:17Z
324656,2014-11-18T10:52:45Z
1220862,2017-06-11T16:01:03Z
403628,2015-03-06T01:31:54Z
280842,2015-10-29T23:18:23Z
306360,2014-12-19T18:23:17Z
521234,2015-06-05T19:01:45Z
327962,2014-11-04T12:37:45Z
790034,2016-03-14T17:17:00Z
400976,2015-01-29T08:03:35Z
892446,2016-07-22T13:09:03Z
322118,2014-10-24T16:55:03Z
1029062,2016-12-14T15:49:54Z
1048496,2016-12-26T17:39:05Z
501502,2015-05-24T21:14:23Z
74004,2013-08-12T13:51:50Z
226084,2014-06-30T08:58:16Z
968056,2016-09-29T05:13:00Z
1107904,2017-02-09T21:58:02Z
691180,2016-01-22T21:45:33Z
843536,2016-12-05T17:01:51Z
532836,2015-06-22T23:04:23Z
493014,2015-05-05T17:47:11Z
